ORG,BESKRIVELSE,NAVN,ROLLE,UDD,Koen,Foedselsdato,PARTI
Statskundskab Áarhus 90,,Anders Samuelsen,,Statskundskab,Mand,01-08-1967,Liberal Alliance
Statskundskab Áarhus 91,,Anders Samuelsen,,Statskundskab,Mand,01-08-1967,Liberal Alliance
Statskundskab Áarhus 92,,Anders Samuelsen,,Statskundskab,Mand,01-08-1967,Liberal Alliance
Statskundskab Áarhus 93,,Anders Samuelsen,,Statskundskab,Mand,01-08-1967,Liberal Alliance
Statskundskab Aarhus 87,,Anders Samuelsen,,Statskundskab,Mand,01-08-1967,Liberal Alliance
Statskundskab Aarhus 88,,Anders Samuelsen,,Statskundskab,Mand,01-08-1967,Liberal Alliance
Statskundskab Aarhus 89,,Anders Samuelsen,,Statskundskab,Mand,01-08-1967,Liberal Alliance
Statskundskab Áarhus 07,,Andreas Frost Steenberg ,,Statskundskab,Mand,22-07-83,Radikale Venstre
Statskundskab Áarhus 08,,Andreas Frost Steenberg ,,Statskundskab,Mand,22-07-83,Radikale Venstre
Statskundskab Áarhus 09,,Andreas Frost Steenberg ,,Statskundskab,Mand,22-07-83,Radikale Venstre
Statskundskab Áarhus 10,,Andreas Frost Steenberg ,,Statskundskab,Mand,22-07-83,Radikale Venstre
Statskundskab Áarhus 11,,Andreas Frost Steenberg ,,Statskundskab,Mand,22-07-83,Radikale Venstre
Statskundskab Aarhus 04,,Andreas Frost Steenberg ,,Statskundskab,Mand,22-07-83,Radikale Venstre
Statskundskab Aarhus 05,,Andreas Frost Steenberg ,,Statskundskab,Mand,22-07-83,Radikale Venstre
Statskundskab Aarhus 06,,Andreas Frost Steenberg ,,Statskundskab,Mand,22-07-83,Radikale Venstre
K04,,"Ane Halsboe-Jrgensen, ",,Statskundskab,Kvinde,,Socialdemokratiet
K05,,"Ane Halsboe-Jrgensen, ",,Statskundskab,Kvinde,,Socialdemokratiet
K06,,"Ane Halsboe-Jrgensen, ",,Statskundskab,Kvinde,,Socialdemokratiet
K07,,"Ane Halsboe-Jrgensen, ",,Statskundskab,Kvinde,,Socialdemokratiet
K08,,"Ane Halsboe-Jrgensen, ",,Statskundskab,Kvinde,,Socialdemokratiet
K09,,"Ane Halsboe-Jrgensen, ",,Statskundskab,Kvinde,,Socialdemokratiet
K06,,Anne Fuglsang-Damgaard Sina ,,Statskundskab,Kvinde,,Socialdemokratiet
K07,,Anne Fuglsang-Damgaard Sina ,,Statskundskab,Kvinde,,Socialdemokratiet
K08,,Anne Fuglsang-Damgaard Sina ,,Statskundskab,Kvinde,,Socialdemokratiet
K09,,Anne Fuglsang-Damgaard Sina ,,Statskundskab,Kvinde,,Socialdemokratiet
K10,,Anne Fuglsang-Damgaard Sina ,,Statskundskab,Kvinde,,Socialdemokratiet
K11,,Anne Fuglsang-Damgaard Sina ,,Statskundskab,Kvinde,,Socialdemokratiet
Cand.jur. KU 71,,Anne-Margrethe Baastrup ,,Jura,Kvinde,07-04-52,Socialistisk Folkeparti
Cand.jur. KU 72,,Anne-Margrethe Baastrup ,,Jura,Kvinde,07-04-52,Socialistisk Folkeparti
Cand.jur. KU 73,,Anne-Margrethe Baastrup ,,Jura,Kvinde,07-04-52,Socialistisk Folkeparti
Cand.jur. KU 74,,Anne-Margrethe Baastrup ,,Jura,Kvinde,07-04-52,Socialistisk Folkeparti
Cand.jur. KU 75,,Anne-Margrethe Baastrup ,,Jura,Kvinde,07-04-52,Socialistisk Folkeparti
Cand.jur. KU 76,,Anne-Margrethe Baastrup ,,Jura,Kvinde,07-04-52,Socialistisk Folkeparti
Haslev Seminarium 88,,Anne-Mette Marie Winther Christiansen,,Læreruddannelsen,Kvinde,22-01-66,Venstre
Haslev Seminarium 89,,Anne-Mette Marie Winther Christiansen,,Læreruddannelsen,Kvinde,22-01-66,Venstre
Haslev Seminarium 90,,Anne-Mette Marie Winther Christiansen,,Læreruddannelsen,Kvinde,22-01-66,Venstre
Haslev Seminarium 91,,Anne-Mette Marie Winther Christiansen,,Læreruddannelsen,Kvinde,22-01-66,Venstre
Haslev Seminarium 92,,Anne-Mette Marie Winther Christiansen,,Læreruddannelsen,Kvinde,22-01-66,Venstre
Nørre Nissum Seminarium ,,Annette Harbo Lind ,,Læreruddannelsen,Kvinde,02-06-69,Socialdemokratiet
Den frie Lærerskole ,,Annette Lilja Vilhelmsen ,,Læreruddannelsen,Kvinde,24-10-59,Socialistisk Folkeparti
K03,,Astrid Krag Kristensen ,,Statskundskab,Kvinde,17-11-82,Socialdemokratiet
K04,,Astrid Krag Kristensen ,,Statskundskab,Kvinde,17-11-82,Socialdemokratiet
K05,,Astrid Krag Kristensen ,,Statskundskab,Kvinde,17-11-82,Socialdemokratiet
K06,,Astrid Krag Kristensen ,,Statskundskab,Kvinde,17-11-82,Socialdemokratiet
K07,,Astrid Krag Kristensen ,,Statskundskab,Kvinde,17-11-82,Socialdemokratiet
Handelsskole Aabenraa,,Benny Engelbrecht,Skatteminister,Erhvervsøkonomi,Mand,,Socialdemokratiet
Aalborg Teknisk skole,,Bent Gunnar Bøgsted,,Teknisk uddannelse,Mand,04-01-1956,Dansk Folkeparti
Cand.jur. KU 66,,Birthe Johanne Sparrevohn Rønn Hornbech,,Jura,Kvinde,18-10-43,Venstre
Cand.jur. KU 67,,Birthe Johanne Sparrevohn Rønn Hornbech,,Jura,Kvinde,18-10-43,Venstre
Cand.jur. KU 68,,Birthe Johanne Sparrevohn Rønn Hornbech,,Jura,Kvinde,18-10-43,Venstre
Cand.jur. KU 69,,Birthe Johanne Sparrevohn Rønn Hornbech,,Jura,Kvinde,18-10-43,Venstre
Cand.jur. KU 70,,Birthe Johanne Sparrevohn Rønn Hornbech,,Jura,Kvinde,18-10-43,Venstre
Cand.jur. KU 71,,Birthe Johanne Sparrevohn Rønn Hornbech,,Jura,Kvinde,18-10-43,Venstre
Statskundskab Áarhus 92,,Bjarne Fog Corydon ,Finansminister ,Statskundskab,Mand,01-03-73,Socialdemokratiet
Statskundskab Áarhus 93,,Bjarne Fog Corydon ,Finansminister ,Statskundskab,Mand,01-03-73,Socialdemokratiet
Statskundskab Áarhus 94,,Bjarne Fog Corydon ,Finansminister ,Statskundskab,Mand,01-03-73,Socialdemokratiet
Statskundskab Áarhus 95,,Bjarne Fog Corydon ,Finansminister ,Statskundskab,Mand,01-03-73,Socialdemokratiet
Statskundskab Áarhus 96,,Bjarne Fog Corydon ,Finansminister ,Statskundskab,Mand,01-03-73,Socialdemokratiet
Statskundskab Aarhus 00,,Bjarne Fog Corydon ,Finansminister ,Statskundskab,Mand,01-03-73,Socialdemokratiet
Statskundskab Aarhus 97,,Bjarne Fog Corydon ,Finansminister ,Statskundskab,Mand,01-03-73,Socialdemokratiet
Statskundskab Aarhus 98,,Bjarne Fog Corydon ,Finansminister ,Statskundskab,Mand,01-03-73,Socialdemokratiet
Statskundskab Aarhus 99,,Bjarne Fog Corydon ,Finansminister ,Statskundskab,Mand,01-03-73,Socialdemokratiet
"Maskinearbejder. Norden, FLS",,Bjarne Laustsen ,,Teknisk uddannelse,Mand,09-12-53,Socialdemokratiet
K86,,Brian Arthur Mikkelsen,,Statskundskab,Mand,,Det Konservative Folkeparti
K87,,Brian Arthur Mikkelsen,,Statskundskab,Mand,,Det Konservative Folkeparti
K88,,Brian Arthur Mikkelsen,,Statskundskab,Mand,,Det Konservative Folkeparti
K89,,Brian Arthur Mikkelsen,,Statskundskab,Mand,,Det Konservative Folkeparti
K90,,Brian Arthur Mikkelsen,,Statskundskab,Mand,,Det Konservative Folkeparti
K91,,Brian Arthur Mikkelsen,,Statskundskab,Mand,,Det Konservative Folkeparti
K92,,Brian Arthur Mikkelsen,,Statskundskab,Mand,,Det Konservative Folkeparti
K93,,Brian Arthur Mikkelsen,,Statskundskab,Mand,,Det Konservative Folkeparti
K94,,Brian Arthur Mikkelsen,,Statskundskab,Mand,,Det Konservative Folkeparti
K92,,Camilla Hersom ,,Statskundskab,Kvinde,,Radikale Venstre
K93,,Camilla Hersom ,,Statskundskab,Kvinde,,Radikale Venstre
K94,,Camilla Hersom ,,Statskundskab,Kvinde,,Radikale Venstre
K95,,Camilla Hersom ,,Statskundskab,Kvinde,,Radikale Venstre
K96,,Camilla Hersom ,,Statskundskab,Kvinde,,Radikale Venstre
K97,,Camilla Hersom ,,Statskundskab,Kvinde,,Radikale Venstre
K98,,Camilla Hersom ,,Statskundskab,Kvinde,,Radikale Venstre
K99,,Camilla Hersom ,,Statskundskab,Kvinde,,Radikale Venstre
VVS montør,,Carsten Mogens Hansen ,"Minister for by, bolig og landdistrikter og minister for nordisk samarbejde ",Teknisk uddannelse,Mand,10-01-57,Socialdemokratiet
K04,,Charlotte Baunbæk Dyremose,,Statskundskab,Kvinde,,Det Konservative Folkeparti
Læreruddannelsen i Silkeborg,,Christian Juhl ,,Læreruddannelsen,Mand,24-02-53,Enhedslisten
Statskundskab Aarhus 85,,Christine Edda Antorini ,Undervisningsminister  ,Statskundskab,Kvinde,23-05-65,Socialdemokratiet
Statskundskab Aarhus 86,,Christine Edda Antorini ,Undervisningsminister  ,Statskundskab,Kvinde,23-05-65,Socialdemokratiet
Statskundskab Aarhus 87,,Christine Edda Antorini ,Undervisningsminister  ,Statskundskab,Kvinde,23-05-65,Socialdemokratiet
Cand.jur. UKENDT,,Claus Hjort Frederiksen,,Jura,Mand,04-09-47,Venstre
Tømrer. Jens skovs Byggeforetning,,Claus Jacob Vejs Lund,,Teknisk uddannelse,Mand,15-03-65,Socialdemokratiet
Ilinniarfissuaq,,Doris Jakobsen,,Læreruddannelsen,Kvinde,30-10-1978,Siumut
Økonomikonsulent og revisoruddannelsen,,Erling Bonnesen,,Økonomi,Mand,28-03-55,Venstre
Soc KU 13,,Esben Lunde Larsen,,Socialvidenskab/Samfundsfag,Mand,14-11-78,Venstre
Soc KU 14,,Esben Lunde Larsen,,Socialvidenskab/Samfundsfag,Mand,14-11-78,Venstre
Økonomi København 10,,Eva Kjer Hansen,,Økonomi,Kvinde,22-08-64,Venstre
Økonomi København 11,,Eva Kjer Hansen,,Økonomi,Kvinde,22-08-64,Venstre
Økonomi København 12,,Eva Kjer Hansen,,Økonomi,Kvinde,22-08-64,Venstre
Økonomi København 87,,Eva Kjer Hansen,,Økonomi,Kvinde,22-08-64,Venstre
Økonomi København 88,,Eva Kjer Hansen,,Økonomi,Kvinde,22-08-64,Venstre
Økonomi København 89,,Eva Kjer Hansen,,Økonomi,Kvinde,22-08-64,Venstre
Cand.jur. KU 73,,Flemming Damgaard Larsen,,Jura,Mand,10-03-51,Venstre
Cand.jur. KU 74,,Flemming Damgaard Larsen,,Jura,Mand,10-03-51,Venstre
Cand.jur. KU 75,,Flemming Damgaard Larsen,,Jura,Mand,10-03-51,Venstre
Cand.jur. KU 76,,Flemming Damgaard Larsen,,Jura,Mand,10-03-51,Venstre
Cand.jur. KU 77,,Flemming Damgaard Larsen,,Jura,Mand,10-03-51,Venstre
Cand.jur. KU 78,,Flemming Damgaard Larsen,,Jura,Mand,10-03-51,Venstre
Cand.jur. KU 79,,Flemming Damgaard Larsen,,Jura,Mand,10-03-51,Venstre
Cand.jur. KU 80,,Flemming Damgaard Larsen,,Jura,Mand,10-03-51,Venstre
Cand.jur. KU 81,,Flemming Damgaard Larsen,,Jura,Mand,10-03-51,Venstre
Soc RUC 72,,Flemming Damgaard Larsen,,Jura,Mand,10-03-51,Venstre
Soc RUC 73,,Flemming Damgaard Larsen,,Jura,Mand,10-03-51,Venstre
Salgsuddannelsen Astra Zeneca,,Flemming Møller Mortensen ,,Erhvervsøkonomi,Mand,03-07-63,Socialdemokratiet
Økonomi Aalborg Universitet,,Frank Aaen ,,Økonomi,Mand,25-07-51,Enhedslisten
Haderslev Seminarium,,Hans Christian Schmidt,,Læreruddannelsen,Mand,25-08-53,Venstre
Lærerseminarium i Haderselev 77,,Hans Christian Schmidt,,Læreruddannelsen,Mand,25-08-53,Venstre
Udlært Møbelsnedler,,Hans Christian Thoning,,Teknisk uddannelse,Mand,20-02-52,Venstre
CBS/Handelshøjskolen i  København merc 00,,Hans Nicolai Andersen ,,Erhvervsøkonomi,Mand,01-11-74,Venstre
CBS/Handelshøjskolen i  København merc 97,,Hans Nicolai Andersen ,,Erhvervsøkonomi,Mand,01-11-74,Venstre
CBS/Handelshøjskolen i  København merc 97,,Hans Nicolai Andersen ,,Erhvervsøkonomi,Mand,01-11-74,Venstre
CBS/Handelshøjskolen i  København merc 98,,Hans Nicolai Andersen ,,Erhvervsøkonomi,Mand,01-11-74,Venstre
CBS/Handelshøjskolen i  København merc 99,,Hans Nicolai Andersen ,,Erhvervsøkonomi,Mand,01-11-74,Venstre
K82,,Helge Vagn Jacobsen,,Statskundskab,Mand,,Radikale Venstre
K83,,Helge Vagn Jacobsen,,Statskundskab,Mand,,Radikale Venstre
K84,,Helge Vagn Jacobsen,,Statskundskab,Mand,,Radikale Venstre
K85,,Helge Vagn Jacobsen,,Statskundskab,Mand,,Radikale Venstre
K86,,Helge Vagn Jacobsen,,Statskundskab,Mand,,Radikale Venstre
K87,,Helge Vagn Jacobsen,,Statskundskab,Mand,,Radikale Venstre
K88,,Helge Vagn Jacobsen,,Statskundskab,Mand,,Radikale Venstre
K91,,Helge Vagn Jacobsen,,Statskundskab,Mand,,Radikale Venstre
Teknisk tegner. Hillerød Teknisk Skole,,Helle Nøhrmann Løvgreen Mølvig ,,Teknisk uddannelse,Kvinde,29-11-63,Radikale Venstre
K87,,Helle Thorning-Schmidt ,,Statskundskab,Kvinde,,Socialdemokratiet
K88,,Helle Thorning-Schmidt ,,Statskundskab,Kvinde,,Socialdemokratiet
K89,,Helle Thorning-Schmidt ,,Statskundskab,Kvinde,,Socialdemokratiet
K90,,Helle Thorning-Schmidt ,,Statskundskab,Kvinde,,Socialdemokratiet
K91,,Helle Thorning-Schmidt ,,Statskundskab,Kvinde,,Socialdemokratiet
K92,,Helle Thorning-Schmidt ,,Statskundskab,Kvinde,,Socialdemokratiet
K93,,Helle Thorning-Schmidt ,,Statskundskab,Kvinde,,Socialdemokratiet
K94,,Helle Thorning-Schmidt ,,Statskundskab,Kvinde,,Socialdemokratiet
Næsgård Agerbrugsskole,,Henrik Børge Høegh ,,Landbrug,Mand,25-02-52,Venstre
HA RUC,,Henrik Sass Larsen ,Erhvervs- og vækstminister ,Erhvervsøkonomi,Mand,29-05-66,Socialdemokratiet
Statskundskab Aarhus 73,,Holger Kirkholm Nielsen ,,Statskundskab,Mand,23-04-50,Socialistisk Folkeparti
Master of Business administration Aalborg,,Inger Støjberg,,Erhvervsøkonomi,Kvinde,16-03-73,Venstre
CBS/Handelshøjskolen i  København 92,,Jacob Jensen ,,Jura og økonomi,Mand,26-05-67,Venstre
CBS/Handelshøjskolen i  København 93,,Jacob Jensen ,,Jura og økonomi,Mand,26-05-68,Venstre
CBS/Handelshøjskolen i  København 94,,Jacob Jensen ,,Jura og økonomi,Mand,26-05-69,Venstre
CBS/Handelshøjskolen i  København 95,,Jacob Jensen ,,Jura og økonomi,Mand,26-05-70,Venstre
CBS/Handelshøjskolen i  København 96,,Jacob Jensen ,,Jura og økonomi,Mand,26-05-71,Venstre
CBS/Handelshøjskolen i  København 97,,Jacob Jensen ,,Jura og økonomi,Mand,26-05-72,Venstre
CBS/Handelshøjskolen i  København 98,,Jacob Jensen ,,Jura og økonomi,Mand,26-05-73,Venstre
CBS/Handelshøjskolen i  København 00,,Jakob Ellemann-Jensen,,Jura og økonomi,Mand,25-09-69,Venstre
CBS/Handelshøjskolen i  København 01,,Jakob Ellemann-Jensen,,Jura og økonomi,Mand,25-09-68,Venstre
CBS/Handelshøjskolen i  København 02,,Jakob Ellemann-Jensen,,Jura og økonomi,Mand,25-09-67,Venstre
CBS/Handelshøjskolen i  København 96,,Jakob Ellemann-Jensen,,Jura og økonomi,Mand,25-09-71,Venstre
CBS/Handelshøjskolen i  København 97,,Jakob Ellemann-Jensen,,Jura og økonomi,Mand,25-09-72,Venstre
CBS/Handelshøjskolen i  København 98,,Jakob Ellemann-Jensen,,Jura og økonomi,Mand,25-09-73,Venstre
CBS/Handelshøjskolen i  København 99,,Jakob Ellemann-Jensen,,Jura og økonomi,Mand,25-09-70,Venstre
CBS/Handelshøjskolen i  København merc 04,,Jakob Engel-Schmidt,,Erhvervsøkonomi,Mand,24-10-83,Venstre
CBS/Handelshøjskolen i  København merc 05,,Jakob Engel-Schmidt,,Erhvervsøkonomi,Mand,24-10-83,Venstre
CBS/Handelshøjskolen i  København merc 06,,Jakob Engel-Schmidt,,Erhvervsøkonomi,Mand,24-10-83,Venstre
CBS/Handelshøjskolen i  København merc 07,,Jakob Engel-Schmidt,,Erhvervsøkonomi,Mand,24-10-83,Venstre
CBS/Handelshøjskolen i  København merc 08,,Jakob Engel-Schmidt,,Erhvervsøkonomi,Mand,24-10-83,Venstre
CBS/Handelshøjskolen i  København merc 09,,Jakob Engel-Schmidt,,Erhvervsøkonomi,Mand,24-10-83,Venstre
CBS/Handelshøjskolen i  København merc 10,,Jakob Engel-Schmidt,,Erhvervsøkonomi,Mand,24-10-83,Venstre
Cand.jur. KU 89,,Jan Ejnar Jørgensen,,Jura,Mand,19-02-65,Venstre
Cand.jur. KU 90,,Jan Ejnar Jørgensen,,Jura,Mand,19-02-65,Venstre
Cand.jur. KU 91,,Jan Ejnar Jørgensen,,Jura,Mand,19-02-65,Venstre
Cand.jur. KU 92,,Jan Ejnar Jørgensen,,Jura,Mand,19-02-65,Venstre
Cand.jur. KU 93,,Jan Ejnar Jørgensen,,Jura,Mand,19-02-65,Venstre
Cand.jur. KU 94,,Jan Ejnar Jørgensen,,Jura,Mand,19-02-65,Venstre
Cand.jur. KU 95,,Jan Ejnar Jørgensen,,Jura,Mand,19-02-65,Venstre
Bygholm Landbrugsskole,,Jens Ejner Christensen,,Landbrug,Mand,19-06-68,Venstre
Socialvidenskab Humbolt Universitet,,Jens Joel Nielsen ,,Statskundskab,Mand,12-05-78,Socialdemokratiet
Statskundskab Aarhus 00,,Jens Joel Nielsen ,,Statskundskab,Mand,12-05-78,Socialdemokratiet
Statskundskab Aarhus 01,,Jens Joel Nielsen ,,Statskundskab,Mand,12-05-78,Socialdemokratiet
Statskundskab Aarhus 02,,Jens Joel Nielsen ,,Statskundskab,Mand,12-05-78,Socialdemokratiet
Statskundskab Aarhus 03,,Jens Joel Nielsen ,,Statskundskab,Mand,12-05-78,Socialdemokratiet
Statskundskab Aarhus 04,,Jens Joel Nielsen ,,Statskundskab,Mand,12-05-78,Socialdemokratiet
